	R935_Col	R935_TSB	R935_FC	DEG	OG	KO.id	KO.description
cds2727	3.8792967322627	4.67836691493822	-0.400622840777921	nonDEG	OG0000820	K01783	rpe; ribulose-phosphate 3-epimerase [EC:5.1.3.1]
cds2728	2.69256753449898	4.25735544632695	-0.529958269120537	nonDEG	OG0002127	K01173	ENDOG; endonuclease G, mitochondrial
cds2729	11.1791710648309	8.74971431564323	3.18008564607021	up	OG0001302	K03797	E3.4.21.102; carboxyl-terminal processing protease [EC:3.4.21.102]
cds273	8.26576619982854	2.60304205901347	7.53567091020065	up			
cds2730	4.32121701666142	4.80316541986538	0.392222123622616	nonDEG	OG0001290	K03787	surE; 5'-nucleotidase [EC:3.1.3.5]
cds2732	5.40113487732738	6.19228090564556	0.260404447762701	nonDEG	OG0001418	K00748	lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182]
cds2733	4.30651775088132	3.55751022180998	0.74882948514787	nonDEG	OG0000078	K13694	mepS; murein DD-endopeptidase / murein LD-carboxypeptidase [EC:3.4.-.- 3.4.17.13]
cds2734	5.18272737416768	2.0822762181068	4.13509169878724	nonDEG	OG0000631	K02238	comEC; competence protein ComEC
cds2735	4.65291741685714	2.01807955829232	4.75172195607541	up			
cds2737	5.70061121628083	5.69639247252348	0.582524101348031	nonDEG	OG0004202		
cds2738	4.04530518851817	5.5612526402844	-1.47042248804424	nonDEG	OG0001130	K03305	TC.POT; proton-dependent oligopeptide transporter, POT family
cds2739	5.64042046773355	7.58842926878326	-0.992540977848058	nonDEG	OG0001130	K03305	TC.POT; proton-dependent oligopeptide transporter, POT family
cds2740	6.02796183659594	9.18144655629566	-2.2601739454263	down	OG0001615	K01278	DPP4; dipeptidyl-peptidase 4 [EC:3.4.14.5]
cds2741	6.50127863187886	7.69161072559377	-0.413429442816906	nonDEG	OG0005118	K00054	mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]
cds2742	4.59443204771863	7.25168663789172	-1.72350323124794	down	OG0007616		
cds2743	4.35038195162611	4.02052431872528	1.17865620357919	nonDEG			
cds2744	9.50635296866202	12.0631213333149	-1.7715156728644	down	OG0000093	K03769	ppiC; peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]
cds2745	6.60141410050527	6.8889613674296	0.492666758284078	nonDEG	OG0000137	K06189	corC; magnesium and cobalt transporter
cds2747	5.20733586983367	4.21551181896567	1.26727279412615	nonDEG	OG0005650		
cds2748	5.67830447191618	6.26184286626247	0.356600063237647	nonDEG	OG0004726		
cds2749	4.64928425523662	3.76007108088373	0.903033946409056	nonDEG	OG0001446	K03525	coaX; type III pantothenate kinase [EC:2.7.1.33]
cds275	4.87510950561541	2.60304205901347	4.06080545346828	up	OG0000556		
cds2750	8.24141262824923	9.18668519873011	-0.176034042122175	nonDEG	OG0000772	K00384	trxB; thioredoxin reductase (NADPH) [EC:1.8.1.9]
cds2751	7.06043267048192	5.84586702844794	1.92692959673569	up			
cds2752	4.56030694760319	5.98948785059479	-0.0350036330955024	nonDEG	OG0003200		
cds2753	7.86633102908916	7.9218255098735	0.690799914977205	nonDEG	OG0001471	K03973	pspC; phage shock protein C
cds2754	6.71077674987012	6.04398742802241	1.52572972519212	nonDEG	OG0001348	K10947	padR; PadR family transcriptional regulator, regulatory protein PadR
cds2755	6.08844412704179	5.64015272629118	1.08813659303608	nonDEG	OG0001977	K09940	uncharacterized protein
cds2756	3.02749323365281	4.16723871882795	-0.596797084368947	nonDEG			
cds2757	4.23947930707924	2.42673774755039	2.9043061149908	nonDEG	OG0006378		
cds2758	6.26491484712566	3.57988162042949	3.1080409065686	up			
cds2759	7.46058062441356	3.62172524779078	4.52613025476087	up	OG0000429	K14588	cueO; blue copper oxidase
cds276	5.37290248913562	8.32931773148236	-1.4942460638909	nonDEG	OG0000858	K02338	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]
cds2760	9.71719594341604	4.75249772205037	5.68068703371562	up	OG0000085	K01533	copB; Cu2+-exporting ATPase [EC:3.6.3.4]
cds2761	6.53157853219162	4.69799814462274	2.58587083553217	up	OG0000020	K07506	AraC family transcriptional regulator
cds2762	5.5880009341335	4.46116701702107	1.22980614206478	nonDEG	OG0002335		
cds2763	4.94291781118063	3.0822762181068	3.11403096220306	nonDEG			
cds2764	5.00125952370574	5.31547908181812	-0.167520580968307	nonDEG	OG0000022	K13653	AraC family transcriptional regulator
cds2765	6.30889075985917	5.89697652541848	1.17786667623666	nonDEG	OG0000158	K19577	ydhP; MFS transporter, DHA1 family, inner membrane transport protein
cds2766	8.74210999517853	2.37475746846738	7.36857610291222	up	OG0000068	K21573	susC; TonB-dependent starch-binding outer membrane protein SusC
cds2767	6.21488659255937	2.53404711251285	4.20564162173951	up	OG0004170	K21572	susD; starch-binding outer membrane protein, SusD/RagB family
cds277	5.42228334381763	7.18810478954942	-1.66563418216526	nonDEG	OG0004301		
cds2770	4.44503642722874	4.72903461275323	0.938267584891414	nonDEG	OG0000094	K18954	pobR; AraC family transcriptional regulator, transcriptional activator of pobA
cds2771	5.8345341092118	3.8733544151786	2.81523397252594	up			
cds2772	4.42667530452836	6.38812792058654	-0.87563307188256	nonDEG	OG0002324	K01243	mtnN; adenosylhomocysteine nucleosidase [EC:3.2.2.9]
cds2773	6.80147937355834	6.01984073887036	1.51152827692074	nonDEG			
cds2774	5.20384090577374	4.1500460813645	1.65770438739597	nonDEG	OG0002338		
cds2775	5.47345438908932	2.95505858112411	3.30531607685086	up	OG0000068	K21573	susC; TonB-dependent starch-binding outer membrane protein SusC
cds2776	4.65091405027244	2.01807955829232	4.37359560343897	up	OG0004209	K21572	susD; starch-binding outer membrane protein, SusD/RagB family
cds2777	4.47565285949813	1.01807955829232	3.45244558767683	nonDEG	OG0003138	K01181	E3.2.1.8; endo-1,4-beta-xylanase [EC:3.2.1.8]
cds2778	4.27051577520973	2.63106684217943	3.4128039977591	nonDEG			
cds2779	5.0262781765835	2.01807955829232	4.33331593761933	nonDEG	OG0003804		
cds278	4.51702895448641	6.40775915027106	-0.672867013670294	nonDEG	OG0003813	K01992	ABC-2.P; ABC-2 type transport system permease protein
cds2780	5.34678867204169	3.52031548016921	3.14230506254835	up	OG0005633	K01195	uidA; beta-glucuronidase [EC:3.2.1.31]
cds2782	3.96885583935254	6.03730544728849	-0.978178399524274	nonDEG	OG0004203	K19147	mcrC; 5-methylcytosine-specific restriction enzyme subunit McrC
cds2783	4.86250342390304	6.46225872769869	-0.753620090908478	nonDEG	OG0003736	K07452	mcrB; 5-methylcytosine-specific restriction enzyme B [EC:3.1.21.-]
cds2785	4.15656685660263	6.04190109786518	-1.15713706853793	nonDEG	OG0003493		
cds2786	4.48504878485956	4.81167711723443	-0.268179642911932	nonDEG	OG0004186	K01154	hsdS; type I restriction enzyme, S subunit [EC:3.1.21.3]
cds2787	7.21428780222495	7.98399180966526	0.154661250341276	nonDEG	OG0002436	K03427	hsdM; type I restriction enzyme M protein [EC:2.1.1.72]
cds2788	8.05876834882636	7.1718015893891	1.65954275618272	up	OG0002334	K19789	radD; DNA repair protein RadD
cds279	4.24799100444829	4.02052431872528	1.00618168698473	nonDEG			
cds2790	4.74152935732379	3.69585605490293	1.26627142742248	nonDEG	OG0004707		
cds2791	5.25986564102519	7.86248321159813	-1.70985891372822	down	OG0002576		
cds2794	4.19051533533261	4.25735544632695	0.0626697907607821	nonDEG	OG0000019	K03088	rpoE; RNA polymerase sigma-70 factor, ECF subfamily
cds2795	4.55383695105096	6.62297595941115	-1.1726159181091	nonDEG			
cds2796	6.55431070677007	5.54224232527227	1.6775145510876	up	OG0003513	K09964	uncharacterized protein
cds2797	5.29245737958735	5.72677510187621	0.161182959025305	nonDEG	OG0005615		
cds2798	6.68778135701728	8.75995365972652	-1.2778669850771	down	OG0000154	K00826	E2.6.1.42; branched-chain amino acid aminotransferase [EC:2.6.1.42]
cds2799	9.07884556407119	7.10486078611931	2.73894070813276	up	OG0001405	K07735	algH; putative transcriptional regulator
cds28	4.19901130539589	1.01807955829232	4.22143131885583	nonDEG	OG0000295	K01423	bepA; beta-barrel assembly-enhancing protease [EC:3.4.-.-]
cds280	6.45698974359597	7.2666113799173	0.00655831445760025	nonDEG	OG0004717		
cds2800	6.88677464606748	3.32688432026409	3.7321781623423	up	OG0000074	K03530	hupB; DNA-binding protein HU-beta
cds2801	7.06433163996983	6.36633170497553	1.49073344996199	up	OG0000859	K00604	MTFMT; methionyl-tRNA formyltransferase [EC:2.1.2.9]
cds2802	6.80843463617942	6.4473073157706	1.06778143737614	nonDEG	OG0000285	K03654	recQ; ATP-dependent DNA helicase RecQ [EC:3.6.4.12]
cds2803	3.39184222274412	7.61984306007706	-3.86066898443446	down	OG0006891		
cds2804	6.85963287901892	4.7945003503544	2.98416397459926	up			
cds2805	3.12713431132005	5.43187609834596	-0.958675251438659	nonDEG	OG0000346	K06999	phospholipase/carboxylesterase
cds2806	7.8110357943212	8.44706601511723	0.399418593642643	nonDEG	OG0005535	K09158	uncharacterized protein
cds2807	8.30353874385273	8.31823402900725	0.873569002625589	nonDEG	OG0005526		
cds2808	5.46230591314778	8.30729467036511	-1.99025148468309	down	OG0000602	K00790	murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]
cds2809	2.77521314135703	5.54002108184527	-3.39700991687974	nonDEG	OG0000175	K16264	czcD; cobalt-zinc-cadmium efflux system protein
cds281	12.9857175636242	9.9326236593836	3.72509230897739	up	OG0000759	K06217	phoH; phosphate starvation-inducible protein PhoH and related proteins
cds2810	7.01138991672039	5.72903461275323	2.09219624865105	up	OG0007063		
cds2811	7.72127667889595	8.13210957282177	0.451313678744285	nonDEG	OG0000387	K03786	aroQ; 3-dehydroquinate dehydratase II [EC:4.2.1.10]
cds2812	7.38734177788396	7.10683432122563	1.11350050998868	nonDEG	OG0001740		
cds2814	4.23243113073435	2.5822762181068	2.06700070533414	nonDEG	OG0001740		
cds2815	3.53003128442079	3.3957012794199	1.49175645851645	nonDEG	OG0001740		
cds2816	5.53078844710652	5.38352598741153	0.858234446430243	nonDEG	OG0000148	K03733	xerC; integrase/recombinase XerC
cds2817	5.67461247436014	3.81671274803116	3.05714157998834	up	OG0002882		
cds2818	11.3413282281663	11.3750907060052	0.766420383665973	nonDEG	OG0004167	K18682	rny; ribonucrease Y [EC:3.1.-.-]
cds2819	4.00125952370574	4.18800455973463	1.25334405719468	nonDEG	OG0005562	K09888	zapA; cell division protein ZapA
cds2820	8.84958313043356	6.73203087382898	2.84387897102389	up	OG0005563		
cds2821	7.88965701226385	7.74474258345791	0.930899674495113	nonDEG	OG0007062		
cds2822	5.26278904423444	5.25735544632695	0.86044054151324	nonDEG	OG0005629		
cds2823	7.21975861625653	6.13499359282455	1.63523387292881	nonDEG			
cds2824	7.03102653664491	6.08797314510351	1.45969429685638	nonDEG	OG0007765		
cds2825	9.70106275052849	10.395946968391	0.0681504015221208	nonDEG	OG0000021	K06147	ABCB-BAC; ATP-binding cassette, subfamily B, bacterial
cds2826	8.32030785793519	9.59009073384082	-0.438182160978521	nonDEG	OG0000817	K01835	pgm; phosphoglucomutase [EC:5.4.2.2]
cds2827	4.82824339555781	7.67333128414148	-1.52624782335125	nonDEG	OG0000313	K20534	gtrB; polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]
cds2828	4.92079141459822	6.53638953481084	-0.908732283461979	nonDEG	OG0005552		
cds2829	8.12892544219481	10.6036285617592	-1.64711963437032	down	OG0000559	K02909	RP-L31; large subunit ribosomal protein L31
cds2830	7.51048773902083	9.96643500982163	-1.54753340221342	down	OG0004530		
cds2831	6.28932445406971	8.53798171212428	-1.45771247677925	down	OG0000191	K06158	ABCF3; ATP-binding cassette, subfamily F, member 3
cds2832	3.96002844360976	3.34000765317968	2.2555660481514	nonDEG			
cds2833	4.61981674358826	3.67836691493822	1.65528589740133	nonDEG	OG0003758	K03319	TC.DASS; divalent anion:Na+ symporter, DASS family
cds2834	3.93932453159621	5.42485555983668	-0.691704240890988	nonDEG			
cds2835	5.6981811622106	5.05019265407819	0.566406954052529	nonDEG	OG0007630		
cds2836	4.10555283461145	1.56687018236495	3.02146130549746	nonDEG	OG0007535		
cds2837	6.56047217637889	8.09513305424033	-0.642609818211091	nonDEG	OG0005532		
cds2838	5.24561227735441	7.09614099756099	-1.09447593014	nonDEG	OG0001238	K02914	RP-L34; large subunit ribosomal protein L34
cds2839	7.70993662544051	11.2421352044986	-2.58520351114271	down	OG0000673	K01955	carB; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]
cds284	6.68744404795001	5.67333128414148	1.69932355290277	up	OG0000246	K21064	ycsE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]
cds2840	8.58108521642207	7.61984306007706	1.72576202216629	up			
cds2841	4.66329144332142	3.82543448034992	2.2502325443791	nonDEG			
cds2842	4.09778225243165	4.85520515383781	0.207667030918014	nonDEG			
cds2843	4.2766487454849	4.06236794608657	0.962525788013019	nonDEG			
cds2844	5.21476459417821	2.0822762181068	3.4374355642672	nonDEG	OG0000019	K03088	rpoE; RNA polymerase sigma-70 factor, ECF subfamily
cds2845	7.49951909522425	6.92527282461399	1.30023154100418	up	OG0005549		
cds2846	7.45254441824229	10.9361762254454	-2.6474030610569	down	OG0007543		
cds2847	5.53485665222648	7.62628487537671	-1.2559248192038	nonDEG	OG0000316	K16092	btuB; vitamin B12 transporter
cds2849	3.8062925464596	5.03770108560531	-0.0961093267619294	nonDEG	OG0001622	K02233	E2.7.8.26; adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]
cds285	7.56786202935699	8.63130965981644	-0.31198694964359	nonDEG	OG0000730	K01923	purC; phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]
cds2850	8.43503393908507	7.10546228506822	2.05094156637368	up	OG0001621	K00768	E2.4.2.21; nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]
cds2851	5.73930140055909	5.27118099165234	1.30263536833032	nonDEG	OG0001745	K02231	cobP; adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]
cds2852	4.80697687974692	3.72903461275323	1.18259908137608	nonDEG			
cds2853	8.87896544873543	7.44200518546748	2.18459838956798	up	OG0005674		
cds2854	6.8705846333086	7.07549329428384	0.569333738046025	nonDEG	OG0003197	K02016	ABC.FEV.S; iron complex transport system substrate-binding protein
cds2855	5.75639490220699	5.40952682474529	1.26930017065264	nonDEG	OG0000073	K02015	ABC.FEV.P; iron complex transport system permease protein
cds2856	6.7934053396699	7.81589019720662	-0.0861981212172031	nonDEG	OG0000114	K02013	ABC.FEV.A; iron complex transport system ATP-binding protein [EC:3.6.3.34]
cds2857	3.81753090404632	5.28081855562408	-1.27105905235112	nonDEG	OG0001205	K03216	trmL; tRNA (cytidine/uridine-2'-O-)-methyltransferase [EC:2.1.1.207]
cds2858	4.67145693586405	5.85645586545818	-0.0698691438681598	nonDEG	OG0000112	K06178	rluB; 23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]
cds2859	10.2883668141467	5.38812792058654	5.64987726129274	up			
cds2860	9.51297619306505	5.34280203074688	4.37740417716101	up	OG0000001	K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
cds2861	6.04828414987568	5.61080066740278	1.4112780668715	nonDEG			
cds2863	5.89279489057243	5.16484412115065	1.66811064987988	nonDEG			
cds2864	4.21960947736652	2.87475746846738	2.25453627782648	nonDEG	OG0000019	K03088	rpoE; RNA polymerase sigma-70 factor, ECF subfamily
cds2866	6.20274185719488	5.08199917577109	1.70857587719965	nonDEG			
cds2867	7.79772467669023	7.8177340804597	0.754695424734602	nonDEG	OG0001137	K09760	rmuC; DNA recombination protein RmuC
cds2868	5.05120733120945	4.20071377917951	1.58691871481679	nonDEG	OG0000200	K10806	yciA; acyl-CoA thioesterase YciA [EC:3.1.2.-]
cds2869	5.87041122898682	4.67836691493822	1.72645346226805	nonDEG	OG0002079		
cds2870	9.65597876192553	4.77486912066988	4.69800153838643	up	OG0003728		
cds2871	5.00312610788047	1.76007108088373	4.29193076543404	up	OG0000895	K07071	uncharacterized protein
cds2872	6.57744183462594	4.7544022724485	2.06080586119022	nonDEG	OG0005527		
cds2873	10.0408216416901	6.06982388376272	4.78776793927059	up	OG0000322	K03688	ubiB; ubiquinone biosynthesis protein
cds2874	7.38536364259178	6.32391289460574	1.88973415375086	up	OG0000894	K01669	phrB; deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]
cds2875	8.20126582463813	5.46116701702107	3.44228620961215	up	OG0003123		
cds2876	6.99851697729846	4.1500460813645	3.42805249970169	up	OG0004036	K15746	crtZ; beta-carotene 3-hydroxylase [EC:1.14.15.24]
cds2877	6.47964925940618	4.20071377917951	2.39911032583081	nonDEG	OG0002310	K02291	crtB; 15-cis-phytoene synthase [EC:2.5.1.32]
cds2878	9.94243291770021	7.35661625642236	3.48578939207179	up	OG0000621	K10027	crtI; phytoene desaturase [EC:1.3.99.26 1.3.99.28 1.3.99.29 1.3.99.31]
cds2879	3.83052850831279	5.38812792058654	-1.31062050107352	nonDEG	OG0001190	K22491	litR; MerR family transcriptional regulator, light-induced transcriptional regulator
cds288	5.36727788294749	2.76007108088373	3.52860072905264	up	OG0000239	K06867	uncharacterized protein
cds2880	8.82315283618554	10.2674211972781	-0.482076149138635	nonDEG	OG0000217	K02656	pilF; type IV pilus assembly protein PilF
cds2881	3.9102606068343	2.60304205901347	2.60126176119766	nonDEG	OG0004093	K11941	mdoC; glucans biosynthesis protein C [EC:2.1.-.-]
cds2882	3.73629895512415	2.37475746846738	1.56882216500269	nonDEG	OG0000105	K08083	algR; two-component system, LytTR family, response regulator AlgR
cds2883	4.70877827334517	5.04398742802241	-0.403497255411278	nonDEG	OG0000750	K00891	E2.7.1.71; shikimate kinase [EC:2.7.1.71]
cds2884	5.84346198486527	6.46665498495087	0.274491721729127	nonDEG	OG0001278	K02825	pyrR; pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9]
cds2885	4.55234579219119	5.48149722698412	-0.326980950215699	nonDEG	OG0001119	K04762	hslR; ribosome-associated heat shock protein Hsp15
cds2886	6.57246364782124	6.79329659917027	0.624663363713219	nonDEG	OG0000126	K03772	fkpA; FKBP-type peptidyl-prolyl cis-trans isomerase FkpA [EC:5.2.1.8]
cds2887	7.67633366763367	9.89478078873894	-1.44751613543399	down	OG0001265	K00615	E2.2.1.1; transketolase [EC:2.2.1.1]
cds2888	10.4632178783425	12.9630709161078	-1.67407585124803	down	OG0001390	K00615	E2.2.1.1; transketolase [EC:2.2.1.1]
cds2889	8.16598391132313	3.34000765317968	6.6275236093267	up			
cds289	7.15901395654395	9.92743511325935	-1.8565546360203	down	OG0000396	K15726	czcA; cobalt-zinc-cadmium resistance protein CzcA
cds2890	6.29815222686424	8.225566986883	-1.1926892985333	nonDEG	OG0001116	K00773	tgt; queuine tRNA-ribosyltransferase [EC:2.4.2.29]
cds2891	5.44613194777169	7.20653118059684	-0.928004606496978	nonDEG	OG0000909	K11720	lptG; lipopolysaccharide export system permease protein
cds2892	4.49204053040443	2.56687018236495	3.11405802090185	nonDEG	OG0001358		
cds2893	4.78282943716247	7.64651573644012	-2.09563143767051	down	OG0001174	K01962	accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]
cds2894	6.09247144044014	7.65024372999578	-0.732269563483445	nonDEG	OG0000931	K02314	dnaB; replicative DNA helicase [EC:3.6.4.12]
cds2895	8.62280804466	6.23185296730883	3.16826747443922	up			
cds2896	3.67782654351328	4.35935143272553	0.651998319953743	nonDEG			
cds2897	4.76641460970974	2.5822762181068	3.21636477800524	nonDEG	OG0000067	K07674	narQ; two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarQ [EC:2.7.13.3]
cds2898	6.67913701633007	6.15129679298487	1.34309262115126	nonDEG	OG0000009	K07687	rcsB; two-component system, NarL family, captular synthesis response regulator RcsB
cds2899	5.55510081077175	3.1500460813645	3.19118800462937	up	OG0007114		
cds29	8.45099832352029	9.45364196028332	-0.204235694230226	nonDEG	OG0000616	K03644	lipA; lipoyl synthase [EC:2.8.1.8]
cds290	8.02681412674271	10.0681805143498	-0.81385635466899	nonDEG	OG0000598	K15727	czcB; membrane fusion protein, cobalt-zinc-cadmium efflux system
cds2900	4.41295338992139	3.34503358160488	1.61832670430159	nonDEG			
cds2902	4.10555283461145	4.76752701855988	-0.581595500733348	nonDEG	OG0006982		
cds2903	7.16783305213163	3.95505858112411	4.26514884584961	up	OG0003206		
cds2906	6.34852984606762	5.65615451726145	1.5103473413707	nonDEG	OG0000567		
cds2907	9.01424391723465	9.79846533190791	0.0378089563805385	nonDEG	OG0001003	K02887	RP-L20; large subunit ribosomal protein L20
cds2908	6.98481167451436	9.5759871322215	-1.58398207708469	down	OG0001002	K02916	RP-L35; large subunit ribosomal protein L35
cds2909	3.73133898748387	7.65601787900312	-1.95661220834254	nonDEG	OG0001001	K02520	infC; translation initiation factor IF-3
cds291	6.50594249482612	9.57712342082296	-1.63773710402381	nonDEG	OG0001047	K15725	czcC; outer membrane protein, cobalt-zinc-cadmium efflux system
cds2910	7.89311495833448	10.4979417677676	-1.75399591623912	down	OG0000703	K01868	TARS; threonyl-tRNA synthetase [EC:6.1.1.3]
cds2912	9.00188235771208	6.64851638661212	3.14493288087386	up			
cds2913	6.00838354878179	6.31533109032689	0.722416694160689	nonDEG	OG0002129	K06889	uncharacterized protein
cds2914	10.5255802396781	8.24460716215007	2.94423714835271	up	OG0001267	K00703	glgA; starch synthase [EC:2.4.1.21]
cds2915	7.29917501501766	4.82662852916252	3.30024177627161	up	OG0002080	K00975	glgC; glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]
cds2916	7.39881847148802	4.43419368522654	3.6955853505606	up	OG0001201	K00700	GBE1; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]
cds2917	5.87939837131733	6.66535600439299	-0.0243761793749959	nonDEG	OG0001866	K15922	yihQ; sulfoquinovosidase [EC:3.2.1.199]
cds2918	8.7715164391199	7.07907485621504	2.52604371100335	up	OG0000295	K01423	bepA; beta-barrel assembly-enhancing protease [EC:3.4.-.-]
cds2919	4.77753003522013	4.83634397771569	0.186774627436261	nonDEG	OG0003644	K06902	UMF1; MFS transporter, UMF1 family
cds292	4.94032536098339	4.75220121954911	1.69828272002227	nonDEG	OG0000010	K07636	phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]
cds2921	5.36034991488889	4.45971996918853	2.23611756455081	nonDEG	OG0007055		
cds2922	3.52404949299569	3.09340441421706	1.60718058008677	nonDEG			
cds2924	6.38949273618553	7.65389500638443	-0.354664461238176	nonDEG	OG0000288	K01338	lon; ATP-dependent Lon protease [EC:3.4.21.53]
cds2925	7.24102742123226	4.45234294656734	3.11693622180293	up	OG0007559		
cds2926	3.55532350044786	3.28839191445745	1.25555468193671	nonDEG	OG0003731		
cds2928	1.69256753449898	4.82820276627164	-2.1146697935101	nonDEG	OG0000881	K00945	cmk; CMP/dCMP kinase [EC:2.7.4.25]
cds2929	4.54781422590149	6.73980837510586	-1.93646878851072	nonDEG	OG0002855	K11537	xapB; MFS transporter, NHS family, xanthosine permease
cds293	6.39543837990734	5.57438557949997	1.59703549814166	nonDEG	OG0000003	K07657	phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB
cds2930	5.90316243157445	5.77486912066988	0.917912075971777	nonDEG			
cds2932	4.26863358749602	2.01807955829232	3.96352694294838	nonDEG	OG0000035		
cds2937	8.93119704129459	13.3983429517766	-3.59137665184353	down	OG0001042	K02945	RP-S1; small subunit ribosomal protein S1
cds294	4.45792991661676	5.84231794704811	-0.327359448274419	nonDEG	OG0002832		
cds2940	4.79994785925317	1.01807955829232	4.66668604847648	nonDEG			
cds2942	7.28550894518601	5.83864277913769	1.9406111818971	up	OG0003714		
cds2944	3.98515903951286	4.59068877966028	0.344507240053474	nonDEG	OG0001677	K11939	rhtA; inner membrane transporter RhtA
cds2945	4.84362734140257	2.87475746846738	2.53811744434701	nonDEG			
cds2946	4.3352686439301	2.01807955829232	3.43768026634735	nonDEG	OG0000063	K01467	ampC; beta-lactamase class C [EC:3.5.2.6]
cds2947	9.92639338301365	7.85320054994709	2.86155439652741	up	OG0002337		
cds2948	7.28088795981648	4.77843492949618	3.86347010190515	up	OG0000780		
cds2949	8.61644339701478	6.36626514004401	2.98104676145347	up	OG0002337		
cds295	6.51907013211669	4.20071377917951	3.09272212603562	up	OG0005558		
cds2950	7.58792285050956	4.9859776280974	3.38020355192853	up	OG0000780		
cds2951	4.3486171850696	3.35935143272553	2.37788888889375	nonDEG	OG0001053		
cds2952	4.14444695102275	2.95505858112411	0.173826957052446	nonDEG	OG0002301	K09164	uncharacterized protein
cds2954	4.01619550764335	6.78417111952651	-1.53755079208384	nonDEG	OG0001288	K22132	tcdA; tRNA threonylcarbamoyladenosine dehydratase
cds2955	2.9703609997267	6.91184682098525	-2.36797879718002	down	OG0000100	K19270	yfbT; sugar-phosphatase [EC:3.1.3.23]
cds2956	6.93762251604337	7.38407156936456	0.35478587987387	nonDEG	OG0000632	K03651	cpdA; 3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]
cds2957	3.99049294293092	1.01807955829232	4.15767037541711	nonDEG			
cds2958	4.84407303748492	3.01807955829232	3.86350329956763	up	OG0005462		
cds2959	5.2434701876346	5.25400422477231	0.648863050576351	nonDEG	OG0004684	K03307	TC.SSS; solute:Na+ symporter, SSS family
cds296	6.07200155625393	7.03532235851143	-0.254045224194199	nonDEG			
cds2960	8.03955221053028	7.03895179722568	1.84524186842864	up	OG0004647		
cds2961	5.03694570904385	3.69585605490293	2.00840924522905	nonDEG			
cds2962	11.4928605313401	8.67055495607666	3.60585968395919	up	OG0004176		
cds2963	7.11835418059379	3.93249607717734	4.1884238880944	up			
cds2965	3.33426094443898	3.46983208653205	0.871495797028557	nonDEG	OG0002402		
cds2966	4.38872624588836	5.65790006671683	-0.995252597416542	nonDEG	OG0000299	K06287	maf; septum formation protein
cds2967	3.15901043656971	5.10820245400321	-1.56000046561651	nonDEG	OG0005764	K03179	ubiA; 4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]
cds2968	5.24996432829623	6.77611983229025	-0.524184643571372	nonDEG	OG0001307	K03270	kdsC; 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45]
cds2969	4.20274185719488	5.74383265253938	-1.18072638222433	nonDEG	OG0004554		
cds297	3.58132433778162	4.84586702844794	-0.78444651625768	nonDEG			
cds2970	6.58684674302939	8.25207851487684	-0.90364488883079	nonDEG	OG0003125		
cds2971	4.67528881547666	4.18800455973463	3.07500801242358	nonDEG	OG0005639		
cds2972	5.4711060380123	4.71566948845425	2.05914808263845	nonDEG	OG0000320	K15977	putative oxidoreductase
cds2973	3.50531501911299	3.37475746846738	2.353621471123	nonDEG	OG0000824		
cds2974	9.16299645550182	8.21599685581295	1.67133941542981	up	OG0000019	K03088	rpoE; RNA polymerase sigma-70 factor, ECF subfamily
cds2975	7.80579556857633	5.8069078383398	2.53779174852143	up	OG0000181	K00432	gpx; glutathione peroxidase [EC:1.11.1.9]
cds2976	5.33274203006696	3.06236794608657	2.14164685968052	nonDEG	OG0000354	K03823	pat; phosphinothricin acetyltransferase [EC:2.3.1.183]
cds2977	6.13109530849202	4.20071377917951	2.66865029284366	up	OG0004120		
