	D36E_col_1	D36E_col_2	D36E_col_3	D36E_vitro_1	D36E_vitro_2	D36E_vitro_3
PSPTO_2920-methyl-accepting chemotaxis protein 	0	0	0	1	6	3
PSPTO_2921-methyl-accepting chemotaxis protein 	0	2	12	10	15	20
PSPTO_2922-methyl-accepting chemotaxis protein 	0	0	5	1	1	0
PSPTO_2923-methyl-accepting chemotaxis protein 	4	18	37	13	12	30
PSPTO_2924-methyl-accepting chemotaxis protein 	0	0	0	5	1	2
PSPTO_2925-methyl-accepting chemotaxis protein 	8	0	15	21	6	5
PSPTO_2926-methyl-accepting chemotaxis protein 	0	0	5	0	2	4
PSPTO_2927-methyl-accepting chemotaxis protein 	0	0	11	18	18	32
PSPTO_2928-methyl-accepting chemotaxis protein 	3	0	63	353	224	204
PSPTO_2929-methyl-accepting chemotaxis protein 	8	15	42	183	162	201
PSPTO_2930-methyl-accepting chemotaxis protein 	0	0	0	18	21	8
PSPTO_2931-methyl-accepting chemotaxis protein 	9	20	41	147	105	109
PSPTO_2932-methyl-accepting chemotaxis protein 	8	5	76	23	23	22
PSPTO_2933-methyl-accepting chemotaxis protein 	20	48	235	268	229	271
PSPTO_2934-methyl-accepting chemotaxis protein 	0	9	32	8	5	5
PSPTO_2935-methyl-accepting chemotaxis protein 	0	25	32	17	16	21
PSPTO_2936-methyl-accepting chemotaxis protein 	9	12	47	0	11	10
PSPTO_2937-methyl-accepting chemotaxis protein 	5	20	42	61	44	93
PSPTO_2938-methyl-accepting chemotaxis protein 	0	3	8	14	19	20
PSPTO_2939-methyl-accepting chemotaxis protein 	19	36	108	292	190	352
PSPTO_2940-methyl-accepting chemotaxis protein 	4	0	5	22	7	28
PSPTO_2941-methyl-accepting chemotaxis protein 	0	6	25	27	28	13
PSPTO_2942-methyl-accepting chemotaxis protein 	0	0	10	4	7	6
PSPTO_2943-methyl-accepting chemotaxis protein 	1	9	32	33	47	37
PSPTO_2944-methyl-accepting chemotaxis protein 	2	11	26	6	5	6
PSPTO_2945-methyl-accepting chemotaxis protein 	16	54	182	231	153	213
PSPTO_2946-methyl-accepting chemotaxis protein 	0	0	1	10	7	1
PSPTO_2947-methyl-accepting chemotaxis protein 	8	13	30	41	29	27
PSPTO_2949-methyl-accepting chemotaxis protein 	3	9	23	16	17	14
PSPTO_2950-methyl-accepting chemotaxis protein 	6	8	33	14	24	48
PSPTO_2951-methyl-accepting chemotaxis protein 	9	14	62	98	118	159
PSPTO_2952-methyl-accepting chemotaxis protein 	57	153	680	120	86	147
PSPTO_2953-methyl-accepting chemotaxis protein 	0	3	0	3	0	5
PSPTO_2954-methyl-accepting chemotaxis protein 	7	3	12	10	14	10
PSPTO_2955-methyl-accepting chemotaxis protein 	48	59	301	384	293	485
PSPTO_2956-methyl-accepting chemotaxis protein 	0	0	12	9	6	5
PSPTO_2957-methyl-accepting chemotaxis protein 	0	0	0	5	0	0
PSPTO_2958-methyl-accepting chemotaxis protein 	0	0	0	2	0	1
PSPTO_2959-methyl-accepting chemotaxis protein 	0	0	0	10	2	3
PSPTO_2960-methyl-accepting chemotaxis protein 	0	3	12	10	18	12
PSPTO_2961-methyl-accepting chemotaxis protein 	0	4	6	15	14	10
PSPTO_2962-methyl-accepting chemotaxis protein 	0	4	4	11	8	1
PSPTO_2963-methyl-accepting chemotaxis protein 	1	4	10	2	10	1
PSPTO_2964-methyl-accepting chemotaxis protein 	2	0	10	8	5	0
PSPTO_2965-methyl-accepting chemotaxis protein 	3	3	7	3	11	8
PSPTO_2966-methyl-accepting chemotaxis protein 	34	32	171	324	265	479
PSPTO_2967-methyl-accepting chemotaxis protein 	0	0	7	7	4	5
PSPTO_2968-methyl-accepting chemotaxis protein 	1	0	19	17	11	30
PSPTO_2969-methyl-accepting chemotaxis protein 	0	0	11	9	8	15
PSPTO_2970-methyl-accepting chemotaxis protein 	0	0	0	0	0	0
PSPTO_2971-methyl-accepting chemotaxis protein 	0	3	12	22	40	28
PSPTO_2972-methyl-accepting chemotaxis protein 	19	62	141	294	232	342
PSPTO_2973-methyl-accepting chemotaxis protein 	33	83	357	428	331	341
PSPTO_2974-methyl-accepting chemotaxis protein 	3	0	6	40	44	32
PSPTO_2975-methyl-accepting chemotaxis protein 	3	23	65	222	244	256
PSPTO_2976-methyl-accepting chemotaxis protein 	21	59	150	43	35	49
PSPTO_2977-methyl-accepting chemotaxis protein 	6	0	16	72	37	75
PSPTO_2978-methyl-accepting chemotaxis protein 	5	19	43	46	70	61
PSPTO_2979-methyl-accepting chemotaxis protein 	0	4	0	2	2	1
PSPTO_2980-methyl-accepting chemotaxis protein 	1	3	7	50	78	117
PSPTO_2981-methyl-accepting chemotaxis protein 	9	0	17	47	28	28
PSPTO_2982-methyl-accepting chemotaxis protein 	11	28	103	183	106	139
PSPTO_2983-methyl-accepting chemotaxis protein 	1	0	2	4	9	0
PSPTO_2984-methyl-accepting chemotaxis protein 	5	15	51	41	39	58
PSPTO_2985-methyl-accepting chemotaxis protein 	10	15	61	19	13	22
PSPTO_2986-methyl-accepting chemotaxis protein 	0	0	1	0	0	2
PSPTO_2987-methyl-accepting chemotaxis protein 	3	4	0	12	13	16
PSPTO_2988-methyl-accepting chemotaxis protein 	0	0	0	2	0	0
PSPTO_2989-methyl-accepting chemotaxis protein 	0	0	0	1	0	0
PSPTO_2990-methyl-accepting chemotaxis protein 	0	0	2	3	0	0
PSPTO_2991-methyl-accepting chemotaxis protein 	5	11	4	4	7	0
PSPTO_2992-methyl-accepting chemotaxis protein 	10	5	60	49	47	20
PSPTO_2993-methyl-accepting chemotaxis protein 	0	2	2	9	15	11
PSPTO_2994-methyl-accepting chemotaxis protein 	0	0	5	3	2	0
PSPTO_2995-methyl-accepting chemotaxis protein 	0	2	5	2	3	0
PSPTO_2996-methyl-accepting chemotaxis protein 	2	0	15	10	8	9
PSPTO_2997-methyl-accepting chemotaxis protein 	14	30	68	259	236	215
PSPTO_2998-methyl-accepting chemotaxis protein 	22	39	191	372	412	353
PSPTO_2999-methyl-accepting chemotaxis protein 	0	0	5	26	22	14
PSPTO_3000-methyl-accepting chemotaxis protein 	11	25	152	4	7	9
PSPTO_3001-methyl-accepting chemotaxis protein 	10	40	169	63	84	96
PSPTO_3002-methyl-accepting chemotaxis protein 	28	67	223	120	83	147
PSPTO_3003-methyl-accepting chemotaxis protein 	22	16	95	47	51	58
PSPTO_3004-methyl-accepting chemotaxis protein 	6	20	24	36	37	34
PSPTO_3005-methyl-accepting chemotaxis protein 	5	0	25	15	28	23
PSPTO_3006-methyl-accepting chemotaxis protein 	8	0	8	22	33	15
PSPTO_3007-methyl-accepting chemotaxis protein 	0	5	14	30	25	15
PSPTO_3008-methyl-accepting chemotaxis protein 	2	4	3	0	2	1
PSPTO_3009-methyl-accepting chemotaxis protein 	0	0	0	0	10	4
PSPTO_3010-methyl-accepting chemotaxis protein 	0	0	5	7	10	9
PSPTO_3011-methyl-accepting chemotaxis protein 	2	7	27	40	12	29
PSPTO_3013-methyl-accepting chemotaxis protein 	0	0	0	0	0	0
PSPTO_3014-methyl-accepting chemotaxis protein 	0	0	0	0	1	0
PSPTO_3016-methyl-accepting chemotaxis protein 	0	7	21	14	9	24
PSPTO_3017-methyl-accepting chemotaxis protein 	2	17	47	139	150	161
PSPTO_3018-methyl-accepting chemotaxis protein 	19	11	41	66	32	36
PSPTO_3019-methyl-accepting chemotaxis protein 	4	6	17	21	15	14
PSPTO_3020-methyl-accepting chemotaxis protein 	0	12	32	45	13	13
PSPTO_3021-LysR family transcriptional regulator 	27	28	171	407	284	468
PSPTO_3022-CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase 	0	13	53	191	137	176
PSPTO_3023-excinuclease ABC subunit C 	28	78	221	271	249	284
PSPTO_3024-DNA-binding response regulator GacA 	54	183	594	424	278	497
PSPTO_3025-DNA-binding protein 	2	2	23	28	13	11
PSPTO_3026-hypothetical protein 	19	75	320	334	188	270
PSPTO_3027-phospho-2-dehydro-3-deoxyheptonate aldolase 	17	51	185	68	140	86
PSPTO_3028-peptidyl-prolyl cis-trans isomerase C 	6	49	322	765	788	641
PSPTO_3029-peptide ABC transporter periplasmic peptide-binding protein 	6	6	87	156	125	213
PSPTO_3030-peptide ABC transporter permease 	5	0	12	53	48	82
PSPTO_3031-peptide ABC transporter permease 	0	0	14	73	99	90
PSPTO_3032-peptide ABC transporter ATP-binding protein 	5	11	48	160	152	208
PSPTO_3033-twitching motility protein 	17	12	107	174	148	190
PSPTO_3034-peptidyl-prolyl cis-trans isomerase C 	1	0	41	90	57	75
"PSPTO_3035-phosphoglucomutase, alpha-D-glucose phosphate-specific "	56	190	821	398	332	301
PSPTO_3036-hypothetical protein 	15	0	74	140	125	183
PSPTO_3037-transcriptional regulator 	0	1	13	23	28	49
PSPTO_3038-hypothetical protein 	6	14	16	17	25	55
PSPTO_3039-alcohol dehydrogenase 	82	197	845	333	473	316
PSPTO_3040-LysR family transcriptional regulator 	6	20	27	472	239	441
PSPTO_3041-membrane protein 	0	4	11	20	7	10
PSPTO_3043-5'-nucleotidase 	1	0	8	33	21	28
"PSPTO_3044-ISPsy12, transposase OrfB "	0	0	0	7	5	4
"PSPTO_3045-ISPsy12, transposase OrfA "	0	0	0	4	5	0
PSPTO_3046-sigma-54 dependent transcriptional regulator 	4	3	43	61	55	91
PSPTO_3047-myo-inositol 2-dehydrogenase 	4	17	25	22	34	36
PSPTO_3048-hypothetical protein 	3	3	7	6	10	4
"PSPTO_3049-sugar ABC transporter, periplasmic sugar-binding "	1	7	14	26	37	16
PSPTO_3050-AraC family transcriptional regulator 	12	21	110	172	131	156
"PSPTO_3051-2,4'-dihydroxyacetophenone dioxygenase "	3	0	0	5	0	0
PSPTO_3052-major facilitator family transporter 	0	0	0	12	5	7
PSPTO_3053-hypothetical protein 	0	7	0	3	0	3
PSPTO_3054-short chain dehydrogenase/reductase family oxidoreductase 	3	4	4	17	10	15
PSPTO_3055-hypothetical protein 	0	0	0	0	0	0
PSPTO_3056-AraC family transcriptional regulator 	0	1	2	3	6	3
PSPTO_3057-MmgE/PrpD family protein 	1	17	12	30	25	26
PSPTO_3058-glycine betaine transporter periplasmic subunit 	0	0	9	29	5	26
PSPTO_3059-glycine betaine/L-proline ABC transporter permease 	1	2	21	3	2	0
PSPTO_3060-glycine betaine/L-proline ABC transporter ATP-binding protein 	0	5	30	9	12	4
PSPTO_3061-LysR family transcriptional regulator 	0	0	4	47	26	43
"PSPTO_3062-iron-sulfur cluster-binding protein, rieske family "	6	19	55	71	78	89
PSPTO_3063-dihydrodipicolinate synthase 	0	0	0	24	8	6
PSPTO_3064-aldehyde dehydrogenase family protein 	0	0	8	22	7	30
PSPTO_3065-hypothetical protein 	5	9	73	106	137	175
PSPTO_3066-membrane protein 	0	2	14	0	12	10
PSPTO_3067-hypothetical protein 	3	2	102	147	112	120
PSPTO_3068-major facilitator family transporter 	0	5	5	19	11	25
PSPTO_3069-TetR family transcriptional regulator 	18	43	106	80	58	80
PSPTO_3070-GNAT family acetyltransferase 	9	16	27	46	17	27
PSPTO_3071-ABC transporter ATP-binding protein/permease 	24	50	143	129	90	110
PSPTO_3072-AraC family transcriptional regulator 	1	6	1	31	9	21
PSPTO_3073-short chain dehydrogenase/reductase family oxidoreductase 	4	3	8	20	6	8
PSPTO_3074-AraC family transcriptional regulator 	2	7	18	25	27	45
"PSPTO_3075-oxidoreductase, aldo/keto reductase family "	2	9	11	23	19	33
PSPTO_3076-TetR family transcriptional regulator 	4	18	95	66	47	39
PSPTO_3077-NADH:flavin oxidoreductase / NADH oxidase family protein 	0	0	19	20	15	10
PSPTO_3078-hypothetical protein 	6	7	18	16	12	27
PSPTO_3079-hypothetical protein 	3	8	25	6	2	9
PSPTO_3080-NADH:flavin oxidoreductase / NADH oxidase family 	13	8	32	63	58	63
PSPTO_3081-LysR family transcriptional regulator 	2	10	30	30	41	50
PSPTO_3082-glutamine/glutamate ABC transporter periplasmic glutamine/glutamate-binding protein 	6	15	36	90	95	91
"PSPTO_3083-glutamine/glutamate ABC transporter, ATP-binding protein "	1	5	22	126	86	102
"PSPTO_3084-glutamine/glutamate ABC transporter, permease protein "	0	0	7	2	6	7
"PSPTO_3085-glutamine/glutamate ABC transporter, permease protein "	3	0	10	12	18	15
PSPTO_3086-transcriptional regulator 	19	43	87	5	18	17
PSPTO_3087-type III effector HopAB2 	0	0	0	0	0	0
"PSPTO_3088-nickel ABC transporter, periplasmic nickel-binding protein "	28	32	144	41	33	53
"PSPTO_3089-nickel ABC transporter, permease protein "	6	2	37	28	14	26
"PSPTO_3090-nickel ABC transporter, permease protein "	4	14	13	29	12	12
"PSPTO_3091-nickel ABC transporter, ATP-binding protein "	9	12	31	35	20	25
PSPTO_3092-hypothetical protein 	24	24	71	62	28	54
PSPTO_3094-hypothetical protein 	5	6	37	66	59	97
PSPTO_3096-hypothetical protein 	25	19	185	392	338	302
PSPTO_3098-methyl-accepting chemotaxis protein 	6	5	52	53	47	45
PSPTO_3099-multidrug efflux RND membrane fusion protein MexE 	57	111	526	55	42	42
PSPTO_3100-aliphatic isothiocyanate resistance protein SaxF	16	47	203	50	69	63
PSPTO_3101-outer membrane efflux protein 	9	43	183	75	63	95
PSPTO_3102-TPR domain-containing protein 	95	179	770	787	844	1128
PSPTO_3103-transcriptional regulator 	90	169	927	1227	1694	1284
PSPTO_3104-hypothetical protein 	2	0	24	144	29	36
PSPTO_3105-hypothetical protein 	13	22	110	149	162	162
PSPTO_3106-lactoylglutathione lyase 	88	233	778	2637	2438	2836
PSPTO_3107-alkyl hydroperoxide reductase subunit F 	84	105	499	53	28	36
PSPTO_3108-alkyl hydroperoxide reductase 	3108	5478	23714	18997	24520	23276
PSPTO_3109-cointegrate resolution protein S 	104	229	729	3790	3745	5307
PSPTO_3110-cointegrate resolution protein T 	14	36	72	144	101	173
PSPTO_3111-sensory box histidine kinase 	4	20	64	48	59	64
PSPTO_3112-glutathione reductase 	18	48	170	343	235	317
PSPTO_3113-UTP-glucose-1-phosphate uridylyltransferase 	265	683	2508	3440	1397	2218
PSPTO_3114-lipoprotein 	7	23	54	55	48	58
PSPTO_3115-hypothetical protein 	9	32	143	393	267	234
PSPTO_3116-hypothetical protein 	51	206	416	303	387	490
PSPTO_3117-hypothetical protein 	0	23	49	20	8	18
PSPTO_3118-DNA alkylation damage repair protein AlkB 	0	7	13	34	34	14
PSPTO_3119-glycosyl hydrolase family protein 	20	80	203	111	88	138
PSPTO_3120-Cof-like hydrolase family protein 	14	29	102	42	64	46
PSPTO_3121-glucose-6-phosphate 1-dehydrogenase 	25	82	258	155	127	96
PSPTO_3122-6-phosphogluconate dehydrogenase 	83	213	873	310	257	243
PSPTO_3123-hypothetical protein 	148	259	829	1264	1532	1520
PSPTO_3124-GNAT family acetyltransferase 	0	2	7	55	11	34
PSPTO_3125-glycogen synthase 	277	529	1900	272	269	276
PSPTO_3126-alpha-amylase family protein 	19	59	251	108	55	79
PSPTO_3127-4-alpha-glucanotransferase 	41	143	600	157	225	209
PSPTO_3128-glycosyl hydrolase family protein 	102	216	577	287	199	260
PSPTO_3129-hypothetical protein 	451	1165	5008	1122	977	1242
PSPTO_3130-glycogen operon protein GlgX 	113	250	1009	337	400	406
PSPTO_3131-hypothetical protein 	2	21	121	105	124	125
PSPTO_3132-hypothetical protein 	7	23	109	73	73	39
PSPTO_3133-methyltransferase 	0	19	28	3	10	25
PSPTO_3134-glycosyl transferase family protein 	0	5	19	7	16	23
PSPTO_3135-hypothetical protein 	16	19	61	55	67	72
PSPTO_3136-azoreductase 	56	182	633	101	96	102
PSPTO_3137-LysR family transcriptional regulator 	1	6	27	76	46	53
PSPTO_3138-3-oxoadipate enol-lactone hydrolase 	6	1	23	82	65	92
PSPTO_3139-hypothetical protein 	8	28	43	24	6	42
PSPTO_3140-hypothetical protein 	0	0	13	37	31	20
PSPTO_3141-undecaprenyl pyrophosphate phosphatase 	8	9	38	192	105	92
PSPTO_3142-nicotinamide mononucleotide transporter PnuC 	4	9	18	168	121	149
PSPTO_3143-nicotinamide-nucleotide adenylyltransferase 	1	0	9	57	49	72
PSPTO_3144-sigma-54 dependent transcriptional regulator 	0	14	40	34	43	39
PSPTO_3145-hypothetical protein 	63	148	530	4580	3605	6730
"PSPTO_3146-ISPsy7, transposase "	0	0	0	0	0	0
PSPTO_3147-hypothetical protein 	0	20	9	99	83	82
"PSPTO_3148-magnesium chelatase, subunit ChII "	7	23	49	217	228	232
PSPTO_3149-cobaltochelatase subunit CobN 	74	84	537	1598	1456	1615
PSPTO_3150-cobalamin synthesis protein/P47K family protein 	34	105	319	421	253	411
PSPTO_3151-cobalamin synthesis protein/P47K family protein 	25	46	220	1058	463	628
PSPTO_3152-cobalamin synthesis protein/P47K family protein 	13	61	147	728	255	305
PSPTO_3154-precorrin-4 C(11)-methyltransferase 	10	3	30	149	79	121
PSPTO_3155-indolepyruvate ferredoxin oxidoreductase 	112	227	808	2954	2555	3373
PSPTO_3156-AsnC family transcriptional regulator 	14	13	95	151	122	105
PSPTO_3157-AsnC family transcriptional regulator 	86	163	620	156	199	180
PSPTO_3159-AsnC family transcriptional regulator 	0	5	12	31	17	17
PSPTO_3160-transcriptional regulator 	6	11	46	9	15	22
PSPTO_3161-protein kinase 	14	6	29	251	217	219
PSPTO_3162-hypothetical protein 	38	84	311	702	380	498
PSPTO_3163-enoyl-CoA hydratase/isomerase family protein 	9	31	71	68	58	53
PSPTO_3164-acetyl-CoA acetyltransferase 	29	67	146	64	35	69
PSPTO_3165-lipoprotein 	19	45	209	38	31	73
PSPTO_3166-hypothetical protein 	1	6	19	23	20	43
PSPTO_3167-hypothetical protein 	8	20	91	62	86	69
PSPTO_3168-hypothetical protein 	0	0	0	2	2	1
PSPTO_3169-hypothetical protein 	0	4	1	5	3	0
PSPTO_3170-glycosyl transferase family protein 	0	17	42	73	54	90
PSPTO_3171-TetR family transcriptional regulator 	1	1	5	60	34	51
PSPTO_3172-membrane protein 	3	18	45	133	147	171
PSPTO_3173-hypothetical protein 	5	12	57	227	136	151
PSPTO_3174-hypothetical protein 	1303	3341	10059	3063	4052	4086
PSPTO_3175-hypothetical protein 	12	2	33	165	155	133
PSPTO_3176-thermolysin metallopeptidase 	92	292	967	55	57	73
PSPTO_3177-hypothetical protein 	16	15	94	36	45	84
PSPTO_3179-PqiB family protein 	31	45	337	960	733	989
PSPTO_3180-lipoprotein 	9	11	56	123	248	200
PSPTO_3181-transcriptional regulator 	14	20	92	34	39	44
PSPTO_3182-LysR family transcriptional regulator 	8	13	85	61	62	44
PSPTO_3183-hypothetical protein 	12	27	89	4	12	4
PSPTO_3184-putative oxidoreductase 	10	25	78	19	13	49
PSPTO_3186-sodium:solute symporter family protein 	7	2	59	53	97	75
PSPTO_3187-hypothetical protein 	0	0	0	0	3	1
PSPTO_3188-choline/ethanolamine kinase 	10	11	32	65	36	63
PSPTO_3189-hypothetical protein 	0	0	6	21	26	16
"PSPTO_3190-peptidase, M20/M25/M40 family "	6	22	107	112	158	108
PSPTO_3191-DeoR family transcriptional regulator 	6	24	67	152	104	117
PSPTO_3192-amidase family protein 	38	42	223	231	183	237
PSPTO_3193-metalloprotease 	32	30	151	447	246	237
"PSPTO_3194-ISPssy, transposase "	0	0	0	7	15	10
PSPTO_3195-sensor histidine kinase 	22	38	189	496	519	615
PSPTO_3196-LysR family transcriptional regulator 	3	2	23	57	68	53
PSPTO_3197-membrane protein 	0	0	9	3	15	20
PSPTO_3198-luciferase family protein 	2	7	31	9	22	34
PSPTO_3199-luciferase family protein 	9	11	53	92	113	92
PSPTO_3200-hypothetical protein 	0	0	0	6	4	3
PSPTO_3201-hypothetical protein 	0	0	0	2	3	7
"PSPTO_3202-oxidoreductase, 2-nitropropane dioxygenase family "	0	0	3	17	5	10
PSPTO_3203-hypothetical protein 	0	0	2	28	23	29
PSPTO_3204-hypothetical protein 	1	4	7	10	7	12
PSPTO_3205-isocitrate/isopropylmalate family dehydrogenase 	0	0	14	52	37	26
PSPTO_3207-LysR family transcriptional regulator 	0	0	6	8	5	7
"PSPTO_3208-ISPssy, transposase "	2	0	1	1	5	14
PSPTO_3210-filamentous hemagglutinin family protein 	0	3	2	18	21	20
PSPTO_3211-hypothetical protein 	0	0	0	2	0	2
"PSPTO_3212-ISPsy5, Orf1 "	0	0	0	0	0	0
"PSPTO_3213-ISPsy5, transposase "	1	0	5	17	13	31
"PSPTO_3215-ISPsy5, Orf1 "	0	0	0	0	0	0
"PSPTO_3216-ISPsy5, transposase "	0	0	0	8	4	14
PSPTO_3217-hypothetical protein 	2	0	0	22	1	2
PSPTO_3218-hypothetical protein 	4	0	18	72	21	26
PSPTO_3219-hypothetical protein 	0	0	0	2	4	2
"PSPTO_3220-ISPsy5, transposase "	5	35	139	264	319	293
"PSPTO_3221-ISPsy5, Orf1 "	0	0	4	4	1	0
PSPTO_3222-hypothetical protein 	1	19	28	11	9	9
"PSPTO_3223-IS52, transposase "	0	0	0	3	1	2
"PSPTO_3224-ISPsy4, transposase "	0	0	0	0	0	0
"PSPTO_3225-ISPsy4, transposition helper protein "	0	0	0	0	0	2
PSPTO_3226-hypothetical protein 	2	13	26	117	183	148
PSPTO_3227-hypothetical protein 	0	0	3	8	8	18
PSPTO_3228-hypothetical protein 	0	0	5	77	41	47
"PSPTO_3229-filamentous hemagglutinin, intein-containing "	31	196	577	4676	5440	6383
"PSPTO_3230-hemolysin activator protein, HlyB family "	11	14	92	1044	1264	1226
PSPTO_3231-LysR family transcriptional regulator 	1	8	8	40	43	41
PSPTO_3232-hypothetical protein 	3	23	96	198	167	221
"PSPTO_3233-peptidase, M20/M25/M40 family "	18	35	129	330	216	299
PSPTO_3234-sulfate permease family protein 	20	21	105	142	128	156
PSPTO_3236-hypothetical protein 	0	0	4	77	92	69
PSPTO_3237-hypothetical protein 	59	98	308	430	392	496
PSPTO_3238-hypothetical protein 	0	0	0	10	24	24
PSPTO_3239-hypothetical protein 	0	0	3	5	4	13
PSPTO_3240-tolQ protein 	2	1	9	17	4	8
PSPTO_3241-phytase domain-containing protein 	0	0	9	9	4	6
PSPTO_3242-TonB-dependent receptor 	2	13	34	56	61	64
PSPTO_3243-diguanylate cyclase 	0	1	1	22	39	41
PSPTO_3244-AraC family transcriptional regulator 	0	0	2	5	17	29
PSPTO_3245-DNA-binding response regulator 	9	26	98	88	57	86
PSPTO_3246-hypothetical protein 	8	28	147	45	53	62
PSPTO_3247-mandelate racemase/muconate lactonizing protein 	3	8	16	8	13	16
"PSPTO_3248-dipeptide ABC transporter, periplasmic dipeptide-binding protein "	19	14	42	63	68	56
"PSPTO_3249-dipeptide ABC transporter, permease protein DppB "	0	0	13	9	5	15
"PSPTO_3250-dipeptide ABC transporter, permease protein DppC "	0	1	11	38	41	46
PSPTO_3251-dipeptide ABC transporter ATP-binding protein 	5	0	19	23	25	41
PSPTO_3252-dipeptide ABC transporter ATP-binding protein 	3	5	42	14	30	16
PSPTO_3253-hypothetical protein 	0	3	3	26	23	25
PSPTO_3254-GntR family transcriptional regulator 	7	22	114	113	89	121
"PSPTO_3256-iron ABC transporter, periplasmic iron-binding protein"	12	23	169	355	388	271
PSPTO_3257-iron ABC transporter ATP-binding protein	3	0	5	44	60	50
PSPTO_3258-iron ABC transporter ATP-binding protein	0	12	23	59	103	75
"PSPTO_3259-peptidase, U32 family"	28	90	220	548	482	494
PSPTO_3260-GNAT family acetyltransferase	0	8	18	24	22	15
PSPTO_3261-hypothetical protein 	1	4	35	18	25	33
"PSPTO_3262-nitrite reductase [NAD(P)H], small subunit, nirB"	34	60	156	53	85	98
"PSPTO_3263-nitrite reductase [NAD(P)H], small subunit, nirD"	2	4	14	16	20	10
PSPTO_3264-alpha/beta fold family hydrolase	34	59	143	58	32	47
PSPTO_3265-LysR family transcriptional regulator	16	36	156	133	150	197
"PSPTO_3266-phosphate transporter ATP-binding protein, pstB"	4	26	78	161	153	278
"PSPTO_3267-phosphate transporter ATP-binding protein, pstA"	0	0	41	109	72	62
"PSPTO_3268-phosphate transporter ATP-binding protein, pstC"	3	7	38	51	17	47
"PSPTO_3269-phosphate transporter ATP-binding protein, pstS"	19	56	290	433	200	199
PSPTO_3270-hypothetical protein 	1815	4946	15689	3174	2968	4128
PSPTO_3271-hypothetical protein 	118	306	866	130	90	107
PSPTO_3272-hypothetical protein 	15	56	182	567	675	794
PSPTO_3273-hypothetical protein 	6	0	7	3	20	52
"PSPTO_3274-ISPsy7, transposase "	0	0	0	0	0	0
PSPTO_3275-LysR family transcriptional regulator 	0	3	28	35	24	20
PSPTO_3276-hypothetical protein 	0	0	0	0	0	0
PSPTO_3277-membrane protein 	6	5	52	42	28	47
PSPTO_3278-hypothetical protein 	8	14	55	168	178	165
PSPTO_3279-methyl-accepting chemotaxis protein 	5	8	13	54	66	60
PSPTO_3280-glycerate kinase 	0	9	32	42	49	47
PSPTO_3281-carbohydrate diacid regulator 	5	0	21	26	45	45
PSPTO_3282-lipoprotein 	39	142	467	804	810	1150
PSPTO_3283-GntR family transcriptional regulator 	12	29	106	41	39	84
PSPTO_3284-major facilitator family transporter 	1	17	48	6	12	10
PSPTO_3285-glucarate dehydratase 	6	22	38	32	33	28
PSPTO_3286-hypothetical protein 	11	25	28	114	59	102
PSPTO_3287-D-isomer specific 2-hydroxyacid dehydrogenase family protein 	12	23	80	80	66	111
PSPTO_3288-hypothetical protein 	810	2185	6850	135	129	310
PSPTO_3289-hypothetical protein 	230	530	2180	2	6	4
"PSPTO_3290-outer membrane porin, OprD family "	45	84	198	19	22	20
PSPTO_3291-methyl-accepting chemotaxis protein 	0	0	1	193	60	107
PSPTO_3292-type III effector HopAH2-1 	0	4	7	105	65	83
PSPTO_3293-type III effector HopAH2-2 	6	11	94	99	69	96
PSPTO_3294-TonB-dependent siderophore receptor 	7	8	59	41	34	47
PSPTO_3295-pyrazinamidase/nicotinamidase 	16	7	79	98	87	115
PSPTO_3296-transporter 	3	9	53	66	66	74
PSPTO_3297-DNA-binding heavy metal response regulator 	32	40	168	65	85	76
PSPTO_3298-sensor histidine kinase 	15	35	135	164	191	139
PSPTO_3299-3-hydroxyacyl-CoA-acyl carrier protein transferase 	0	0	14	35	40	39
PSPTO_3300-RND family efflux transporter MFP subunit 	3	0	46	54	56	40
PSPTO_3301-RND family efflux transporter MFP subunit 	1	2	8	38	23	19
PSPTO_3302-AcrB/AcrD/AcrF family protein 	7	0	38	102	97	58
PSPTO_3303-hypothetical protein 	0	0	3	5	0	0
PSPTO_3304-major facilitator family transporter 	1	8	18	40	43	21
PSPTO_3305-hypothetical protein 	4	0	16	132	104	127
PSPTO_3306-phospholipase/carboxylesterase family protein 	3	5	31	54	31	73
PSPTO_3307-general secretion pathway protein D 	7	23	92	181	139	135
PSPTO_3308-general secretion pathway protein N 	3	8	17	41	25	43
PSPTO_3309-general secretion pathway protein M 	4	4	8	89	84	77
PSPTO_3310-general secretion pathway protein L 	2	0	26	87	122	92
PSPTO_3311-general secretion pathway protein K 	6	5	35	61	51	56
PSPTO_3312-general secretion pathway protein J 	0	0	4	3	1	3
PSPTO_3313-general secretion pathway protein I 	7	0	7	25	25	17
PSPTO_3314-general secretion pathway protein H 	4	1	4	26	23	16
PSPTO_3315-general secretion pathway protein G 	0	0	11	24	13	27
PSPTO_3316-general secretion pathway protein F 	13	18	110	173	134	188
PSPTO_3317-general secretion pathway protein E 	8	24	93	193	166	207
PSPTO_3318-beta-glucosidase 	4	0	10	25	14	23
PSPTO_3319-TetR family transcriptional regulator 	5	21	111	185	123	153
PSPTO_3320-membrane protein 	0	0	0	4	0	5
PSPTO_3321-phosphinothricin N-acetyltransferase 	0	1	2	23	33	18
